quarter,hb_code,location_code,urban_rural,admission_type,specialty_name,episodes,length_of_episode,spells,hb_name,total_occupied_beds,pop
2020Q4,S08000015,S08000015,Rural,Elective Inpatients,"Ear, Nose & Throat (ENT)",49,152,52,Ayrshire and Arran,77380,367990
2021Q1,S08000015,S08000015,Rural,Elective Inpatients,"Ear, Nose & Throat (ENT)",15,21,15,Ayrshire and Arran,76215,367990
2021Q2,S08000015,S08000015,Rural,Elective Inpatients,"Ear, Nose & Throat (ENT)",60,79,73,Ayrshire and Arran,77846,367990
2021Q3,S08000015,S08000015,Rural,Elective Inpatients,"Ear, Nose & Throat (ENT)",39,48,50,Ayrshire and Arran,82594,367990
2020Q1,S08000015,S08000015,Rural,Elective Inpatients,Ophthalmology,10,14,11,Ayrshire and Arran,79602,367990
2020Q2,S08000015,S08000015,Rural,Elective Inpatients,Ophthalmology,0,5,5,Ayrshire and Arran,58335,367990
2020Q3,S08000015,S08000015,Rural,Elective Inpatients,Ophthalmology,0,5,0,Ayrshire and Arran,72179,367990
2020Q4,S08000015,S08000015,Rural,Elective Inpatients,Ophthalmology,10,17,11,Ayrshire and Arran,77380,367990
2021Q1,S08000015,S08000015,Rural,Elective Inpatients,Ophthalmology,5,5,5,Ayrshire and Arran,76215,367990
2021Q2,S08000015,S08000015,Rural,Elective Inpatients,Ophthalmology,10,9,10,Ayrshire and Arran,77846,367990
2021Q3,S08000015,S08000015,Rural,Elective Inpatients,Ophthalmology,5,5,10,Ayrshire and Arran,82594,367990
2020Q1,S08000015,S08000015,Rural,Elective Inpatients,Trauma and Orthopaedic Surgery,266,905,270,Ayrshire and Arran,79602,367990
2020Q2,S08000015,S08000015,Rural,Elective Inpatients,Trauma and Orthopaedic Surgery,14,58,14,Ayrshire and Arran,58335,367990
2020Q3,S08000015,S08000015,Rural,Elective Inpatients,Trauma and Orthopaedic Surgery,167,558,166,Ayrshire and Arran,72179,367990
2020Q4,S08000015,S08000015,Rural,Elective Inpatients,Trauma and Orthopaedic Surgery,110,305,115,Ayrshire and Arran,77380,367990
2021Q1,S08000015,S08000015,Rural,Elective Inpatients,Trauma and Orthopaedic Surgery,22,120,23,Ayrshire and Arran,76215,367990
2021Q2,S08000015,S08000015,Rural,Elective Inpatients,Trauma and Orthopaedic Surgery,147,445,153,Ayrshire and Arran,77846,367990
2021Q3,S08000015,S08000015,Rural,Elective Inpatients,Trauma and Orthopaedic Surgery,32,157,35,Ayrshire and Arran,82594,367990
2020Q2,S08000015,S08000015,Rural,Elective Inpatients,Plastic Surgery,0,0,0,Ayrshire and Arran,58335,367990
2020Q3,S08000015,S08000015,Rural,Elective Inpatients,Plastic Surgery,5,5,5,Ayrshire and Arran,72179,367990
2021Q2,S08000015,S08000015,Rural,Elective Inpatients,Plastic Surgery,0,0,0,Ayrshire and Arran,77846,367990
2020Q1,S08000015,S08000015,Rural,Elective Inpatients,Urology,275,394,280,Ayrshire and Arran,79602,367990
2020Q2,S08000015,S08000015,Rural,Elective Inpatients,Urology,96,118,95,Ayrshire and Arran,58335,367990
2020Q3,S08000015,S08000015,Rural,Elective Inpatients,Urology,181,238,180,Ayrshire and Arran,72179,367990
2020Q4,S08000015,S08000015,Rural,Elective Inpatients,Urology,227,284,230,Ayrshire and Arran,77380,367990
2021Q1,S08000015,S08000015,Rural,Elective Inpatients,Urology,98,145,100,Ayrshire and Arran,76215,367990
2021Q2,S08000015,S08000015,Rural,Elective Inpatients,Urology,230,306,234,Ayrshire and Arran,77846,367990
2021Q3,S08000015,S08000015,Rural,Elective Inpatients,Urology,193,211,195,Ayrshire and Arran,82594,367990
2020Q1,S08000015,S08000015,Rural,Elective Inpatients,Haematology,79,383,84,Ayrshire and Arran,79602,367990
2020Q2,S08000015,S08000015,Rural,Elective Inpatients,Haematology,46,181,52,Ayrshire and Arran,58335,367990
2020Q3,S08000015,S08000015,Rural,Elective Inpatients,Haematology,43,364,45,Ayrshire and Arran,72179,367990
2020Q4,S08000015,S08000015,Rural,Elective Inpatients,Haematology,51,270,54,Ayrshire and Arran,77380,367990
2021Q1,S08000015,S08000015,Rural,Elective Inpatients,Haematology,72,275,74,Ayrshire and Arran,76215,367990
2021Q2,S08000015,S08000015,Rural,Elective Inpatients,Haematology,65,274,70,Ayrshire and Arran,77846,367990
2021Q3,S08000015,S08000015,Rural,Elective Inpatients,Haematology,79,336,86,Ayrshire and Arran,82594,367990
2020Q1,S08000015,A210H,Rural,Elective Inpatients,General Medicine,5,15,25,Ayrshire and Arran,79602,367990
2020Q2,S08000015,A210H,Rural,Elective Inpatients,General Medicine,0,5,5,Ayrshire and Arran,58335,367990
2020Q3,S08000015,A210H,Rural,Elective Inpatients,General Medicine,10,7,20,Ayrshire and Arran,72179,367990
2020Q4,S08000015,A210H,Rural,Elective Inpatients,General Medicine,10,17,30,Ayrshire and Arran,77380,367990
2021Q1,S08000015,A210H,Rural,Elective Inpatients,General Medicine,5,5,25,Ayrshire and Arran,76215,367990
2021Q2,S08000015,A210H,Rural,Elective Inpatients,General Medicine,10,16,35,Ayrshire and Arran,77846,367990
2021Q3,S08000015,A210H,Rural,Elective Inpatients,General Medicine,5,5,30,Ayrshire and Arran,82594,367990
2020Q1,S08000015,A210H,Rural,Elective Inpatients,Cardiology,50,87,55,Ayrshire and Arran,79602,367990
2020Q2,S08000015,A210H,Rural,Elective Inpatients,Cardiology,20,35,20,Ayrshire and Arran,58335,367990
2020Q3,S08000015,A210H,Rural,Elective Inpatients,Cardiology,15,34,21,Ayrshire and Arran,72179,367990
2020Q4,S08000015,A210H,Rural,Elective Inpatients,Cardiology,30,40,30,Ayrshire and Arran,77380,367990
2021Q1,S08000015,A210H,Rural,Elective Inpatients,Cardiology,30,25,34,Ayrshire and Arran,76215,367990
2021Q2,S08000015,A210H,Rural,Elective Inpatients,Cardiology,23,30,32,Ayrshire and Arran,77846,367990
2021Q3,S08000015,A210H,Rural,Elective Inpatients,Cardiology,35,34,40,Ayrshire and Arran,82594,367990
2020Q1,S08000015,A210H,Rural,Elective Inpatients,Medical Oncology,0,5,5,Ayrshire and Arran,79602,367990
2020Q2,S08000015,A210H,Rural,Elective Inpatients,Medical Oncology,5,5,5,Ayrshire and Arran,58335,367990
2020Q1,S08000015,A210H,Rural,Elective Inpatients,General Surgery,175,666,180,Ayrshire and Arran,79602,367990
2020Q2,S08000015,A210H,Rural,Elective Inpatients,General Surgery,36,165,36,Ayrshire and Arran,58335,367990
2020Q3,S08000015,A210H,Rural,Elective Inpatients,General Surgery,104,508,110,Ayrshire and Arran,72179,367990
2020Q4,S08000015,A210H,Rural,Elective Inpatients,General Surgery,99,371,105,Ayrshire and Arran,77380,367990
2021Q1,S08000015,A210H,Rural,Elective Inpatients,General Surgery,45,220,50,Ayrshire and Arran,76215,367990
2021Q2,S08000015,A210H,Rural,Elective Inpatients,General Surgery,113,459,111,Ayrshire and Arran,77846,367990
2021Q3,S08000015,A210H,Rural,Elective Inpatients,General Surgery,106,531,105,Ayrshire and Arran,82594,367990
2020Q1,S08000015,A210H,Rural,Elective Inpatients,Ophthalmology,10,14,11,Ayrshire and Arran,79602,367990
2020Q2,S08000015,A210H,Rural,Elective Inpatients,Ophthalmology,0,5,5,Ayrshire and Arran,58335,367990
2020Q3,S08000015,A210H,Rural,Elective Inpatients,Ophthalmology,0,5,0,Ayrshire and Arran,72179,367990
2020Q4,S08000015,A210H,Rural,Elective Inpatients,Ophthalmology,10,17,11,Ayrshire and Arran,77380,367990
2021Q1,S08000015,A210H,Rural,Elective Inpatients,Ophthalmology,5,5,5,Ayrshire and Arran,76215,367990
2021Q2,S08000015,A210H,Rural,Elective Inpatients,Ophthalmology,10,9,10,Ayrshire and Arran,77846,367990
2021Q3,S08000015,A210H,Rural,Elective Inpatients,Ophthalmology,5,5,10,Ayrshire and Arran,82594,367990
2020Q1,S08000015,A210H,Rural,Elective Inpatients,Trauma and Orthopaedic Surgery,158,425,159,Ayrshire and Arran,79602,367990
2020Q2,S08000015,A210H,Rural,Elective Inpatients,Trauma and Orthopaedic Surgery,10,55,10,Ayrshire and Arran,58335,367990
2020Q3,S08000015,A210H,Rural,Elective Inpatients,Trauma and Orthopaedic Surgery,136,412,136,Ayrshire and Arran,72179,367990
2020Q4,S08000015,A210H,Rural,Elective Inpatients,Trauma and Orthopaedic Surgery,100,294,100,Ayrshire and Arran,77380,367990
2021Q1,S08000015,A210H,Rural,Elective Inpatients,Trauma and Orthopaedic Surgery,20,120,20,Ayrshire and Arran,76215,367990
2021Q2,S08000015,A210H,Rural,Elective Inpatients,Trauma and Orthopaedic Surgery,134,434,134,Ayrshire and Arran,77846,367990
2021Q3,S08000015,A210H,Rural,Elective Inpatients,Trauma and Orthopaedic Surgery,25,112,27,Ayrshire and Arran,82594,367990
2020Q2,S08000015,A210H,Rural,Elective Inpatients,Plastic Surgery,0,0,0,Ayrshire and Arran,58335,367990
2020Q3,S08000015,A210H,Rural,Elective Inpatients,Plastic Surgery,5,5,5,Ayrshire and Arran,72179,367990
2021Q2,S08000015,A210H,Rural,Elective Inpatients,Plastic Surgery,0,0,0,Ayrshire and Arran,77846,367990
2020Q1,S08000015,A210H,Rural,Elective Inpatients,Urology,275,394,280,Ayrshire and Arran,79602,367990
2020Q2,S08000015,A210H,Rural,Elective Inpatients,Urology,96,118,95,Ayrshire and Arran,58335,367990
2020Q3,S08000015,A210H,Rural,Elective Inpatients,Urology,181,238,180,Ayrshire and Arran,72179,367990
2020Q4,S08000015,A210H,Rural,Elective Inpatients,Urology,227,284,230,Ayrshire and Arran,77380,367990
2021Q1,S08000015,A210H,Rural,Elective Inpatients,Urology,98,145,100,Ayrshire and Arran,76215,367990
2021Q2,S08000015,A210H,Rural,Elective Inpatients,Urology,230,306,234,Ayrshire and Arran,77846,367990
2021Q3,S08000015,A210H,Rural,Elective Inpatients,Urology,193,211,195,Ayrshire and Arran,82594,367990
2020Q1,S08000015,A210H,Rural,Elective Inpatients,Haematology,25,142,28,Ayrshire and Arran,79602,367990
2020Q2,S08000015,A210H,Rural,Elective Inpatients,Haematology,15,46,16,Ayrshire and Arran,58335,367990
2020Q3,S08000015,A210H,Rural,Elective Inpatients,Haematology,15,42,15,Ayrshire and Arran,72179,367990
2021Q1,S08000015,A210H,Rural,Elective Inpatients,Haematology,0,0,0,Ayrshire and Arran,76215,367990
2020Q1,S08000015,A111H,Rural,Elective Inpatients,General Medicine,20,73,30,Ayrshire and Arran,79602,367990
2020Q2,S08000015,A111H,Rural,Elective Inpatients,General Medicine,15,40,30,Ayrshire and Arran,58335,367990
2020Q3,S08000015,A111H,Rural,Elective Inpatients,General Medicine,25,156,40,Ayrshire and Arran,72179,367990
2020Q4,S08000015,A111H,Rural,Elective Inpatients,General Medicine,10,32,20,Ayrshire and Arran,77380,367990
2021Q1,S08000015,A111H,Rural,Elective Inpatients,General Medicine,5,35,22,Ayrshire and Arran,76215,367990
2021Q2,S08000015,A111H,Rural,Elective Inpatients,General Medicine,5,73,26,Ayrshire and Arran,77846,367990
2021Q3,S08000015,A111H,Rural,Elective Inpatients,General Medicine,10,30,25,Ayrshire and Arran,82594,367990
2020Q2,S08000015,A111H,Rural,Elective Inpatients,Cardiology,0,0,0,Ayrshire and Arran,58335,367990
2020Q3,S08000015,A111H,Rural,Elective Inpatients,Cardiology,0,0,5,Ayrshire and Arran,72179,367990
2020Q4,S08000015,A111H,Rural,Elective Inpatients,Cardiology,0,0,5,Ayrshire and Arran,77380,367990
2021Q1,S08000015,A111H,Rural,Elective Inpatients,Cardiology,0,5,0,Ayrshire and Arran,76215,367990
2021Q3,S08000015,A111H,Rural,Elective Inpatients,Dermatology,0,5,0,Ayrshire and Arran,82594,367990
2020Q1,S08000015,A111H,Rural,Elective Inpatients,Geriatric Medicine,0,0,5,Ayrshire and Arran,79602,367990
2020Q1,S08000015,A111H,Rural,Elective Inpatients,Renal Medicine,0,5,5,Ayrshire and Arran,79602,367990
2020Q2,S08000015,A111H,Rural,Elective Inpatients,Renal Medicine,0,10,10,Ayrshire and Arran,58335,367990
2020Q3,S08000015,A111H,Rural,Elective Inpatients,Renal Medicine,0,5,10,Ayrshire and Arran,72179,367990
2020Q1,S08000015,A111H,Rural,Elective Inpatients,Respiratory Medicine,5,0,5,Ayrshire and Arran,79602,367990
2020Q2,S08000015,A111H,Rural,Elective Inpatients,Respiratory Medicine,5,0,5,Ayrshire and Arran,58335,367990
2020Q3,S08000015,A111H,Rural,Elective Inpatients,Respiratory Medicine,5,0,5,Ayrshire and Arran,72179,367990
2021Q3,S08000015,A111H,Rural,Elective Inpatients,Respiratory Medicine,0,5,5,Ayrshire and Arran,82594,367990
2020Q1,S08000015,A111H,Rural,Elective Inpatients,General Surgery,160,245,180,Ayrshire and Arran,79602,367990
2020Q2,S08000015,A111H,Rural,Elective Inpatients,General Surgery,34,86,36,Ayrshire and Arran,58335,367990
2020Q3,S08000015,A111H,Rural,Elective Inpatients,General Surgery,84,125,99,Ayrshire and Arran,72179,367990
2020Q4,S08000015,A111H,Rural,Elective Inpatients,General Surgery,82,112,105,Ayrshire and Arran,77380,367990
2021Q1,S08000015,A111H,Rural,Elective Inpatients,General Surgery,10,5,15,Ayrshire and Arran,76215,367990
2021Q2,S08000015,A111H,Rural,Elective Inpatients,General Surgery,103,240,120,Ayrshire and Arran,77846,367990
2021Q3,S08000015,A111H,Rural,Elective Inpatients,General Surgery,60,140,85,Ayrshire and Arran,82594,367990
2020Q1,S08000015,A111H,Rural,Elective Inpatients,"Ear, Nose & Throat (ENT)",117,190,140,Ayrshire and Arran,79602,367990
2020Q2,S08000015,A111H,Rural,Elective Inpatients,"Ear, Nose & Throat (ENT)",24,61,25,Ayrshire and Arran,58335,367990
2020Q3,S08000015,A111H,Rural,Elective Inpatients,"Ear, Nose & Throat (ENT)",66,102,67,Ayrshire and Arran,72179,367990
2020Q4,S08000015,A111H,Rural,Elective Inpatients,"Ear, Nose & Throat (ENT)",49,152,52,Ayrshire and Arran,77380,367990
2021Q1,S08000015,A111H,Rural,Elective Inpatients,"Ear, Nose & Throat (ENT)",15,21,15,Ayrshire and Arran,76215,367990
2021Q2,S08000015,A111H,Rural,Elective Inpatients,"Ear, Nose & Throat (ENT)",60,79,73,Ayrshire and Arran,77846,367990
2021Q3,S08000015,A111H,Rural,Elective Inpatients,"Ear, Nose & Throat (ENT)",39,48,50,Ayrshire and Arran,82594,367990
2020Q1,S08000015,A111H,Rural,Elective Inpatients,Trauma and Orthopaedic Surgery,108,480,112,Ayrshire and Arran,79602,367990
2020Q2,S08000015,A111H,Rural,Elective Inpatients,Trauma and Orthopaedic Surgery,5,5,5,Ayrshire and Arran,58335,367990
2020Q3,S08000015,A111H,Rural,Elective Inpatients,Trauma and Orthopaedic Surgery,31,146,31,Ayrshire and Arran,72179,367990
2020Q4,S08000015,A111H,Rural,Elective Inpatients,Trauma and Orthopaedic Surgery,10,11,15,Ayrshire and Arran,77380,367990
2021Q1,S08000015,A111H,Rural,Elective Inpatients,Trauma and Orthopaedic Surgery,0,0,5,Ayrshire and Arran,76215,367990
2021Q2,S08000015,A111H,Rural,Elective Inpatients,Trauma and Orthopaedic Surgery,13,11,19,Ayrshire and Arran,77846,367990
2021Q3,S08000015,A111H,Rural,Elective Inpatients,Trauma and Orthopaedic Surgery,5,45,5,Ayrshire and Arran,82594,367990
2020Q1,S08000015,A111H,Rural,Elective Inpatients,Urology,0,0,0,Ayrshire and Arran,79602,367990
2020Q1,S08000015,A111H,Rural,Elective Inpatients,Haematology,55,241,56,Ayrshire and Arran,79602,367990
2020Q2,S08000015,A111H,Rural,Elective Inpatients,Haematology,30,135,36,Ayrshire and Arran,58335,367990
2020Q3,S08000015,A111H,Rural,Elective Inpatients,Haematology,30,322,31,Ayrshire and Arran,72179,367990
2020Q4,S08000015,A111H,Rural,Elective Inpatients,Haematology,50,270,53,Ayrshire and Arran,77380,367990
2021Q1,S08000015,A111H,Rural,Elective Inpatients,Haematology,70,275,72,Ayrshire and Arran,76215,367990
2021Q2,S08000015,A111H,Rural,Elective Inpatients,Haematology,65,274,70,Ayrshire and Arran,77846,367990
2021Q3,S08000015,A111H,Rural,Elective Inpatients,Haematology,79,336,85,Ayrshire and Arran,82594,367990
2020Q1,S08000016,B120H,Rural,Elective Inpatients,General Medicine,0,0,10,Borders,16272,115240
2020Q2,S08000016,B120H,Rural,Elective Inpatients,General Medicine,5,0,5,Borders,10533,115240
2020Q4,S08000016,B120H,Rural,Elective Inpatients,Cardiology,0,5,0,Borders,15500,115240
2021Q1,S08000016,B120H,Rural,Elective Inpatients,Gastroenterology,0,0,0,Borders,17052,115240
2021Q2,S08000016,B120H,Rural,Elective Inpatients,Palliative Medicine,0,7,0,Borders,17745,115240
2021Q2,S08000016,B120H,Rural,Elective Inpatients,Respiratory Medicine,0,0,0,Borders,17745,115240
2020Q1,S08000016,B120H,Rural,Elective Inpatients,General Surgery,79,55,80,Borders,16272,115240
2020Q2,S08000016,B120H,Rural,Elective Inpatients,General Surgery,35,77,35,Borders,10533,115240
2020Q3,S08000016,B120H,Rural,Elective Inpatients,General Surgery,44,51,44,Borders,13436,115240
2020Q4,S08000016,B120H,Rural,Elective Inpatients,General Surgery,53,69,55,Borders,15500,115240
2021Q1,S08000016,B120H,Rural,Elective Inpatients,General Surgery,42,49,40,Borders,17052,115240
2021Q2,S08000016,B120H,Rural,Elective Inpatients,General Surgery,59,75,62,Borders,17745,115240
2021Q3,S08000016,B120H,Rural,Elective Inpatients,General Surgery,50,68,49,Borders,17316,115240
2020Q1,S08000016,B120H,Rural,Elective Inpatients,"Ear, Nose & Throat (ENT)",14,9,15,Borders,16272,115240
2020Q2,S08000016,B120H,Rural,Elective Inpatients,"Ear, Nose & Throat (ENT)",0,0,0,Borders,10533,115240
2020Q3,S08000016,B120H,Rural,Elective Inpatients,"Ear, Nose & Throat (ENT)",5,5,5,Borders,13436,115240
2020Q4,S08000016,B120H,Rural,Elective Inpatients,"Ear, Nose & Throat (ENT)",10,5,10,Borders,15500,115240
2021Q2,S08000016,B120H,Rural,Elective Inpatients,"Ear, Nose & Throat (ENT)",5,5,5,Borders,17745,115240
2021Q3,S08000016,B120H,Rural,Elective Inpatients,"Ear, Nose & Throat (ENT)",10,6,10,Borders,17316,115240
2020Q1,S08000016,B120H,Rural,Elective Inpatients,Ophthalmology,5,5,5,Borders,16272,115240
2020Q4,S08000016,B120H,Rural,Elective Inpatients,Ophthalmology,0,0,0,Borders,15500,115240
2021Q2,S08000016,B120H,Rural,Elective Inpatients,Ophthalmology,0,0,0,Borders,17745,115240
2021Q3,S08000016,B120H,Rural,Elective Inpatients,Ophthalmology,5,0,5,Borders,17316,115240
2020Q1,S08000016,B120H,Rural,Elective Inpatients,Trauma and Orthopaedic Surgery,65,160,66,Borders,16272,115240
2020Q2,S08000016,B120H,Rural,Elective Inpatients,Trauma and Orthopaedic Surgery,5,12,5,Borders,10533,115240
2020Q3,S08000016,B120H,Rural,Elective Inpatients,Trauma and Orthopaedic Surgery,16,43,16,Borders,13436,115240
2020Q4,S08000016,B120H,Rural,Elective Inpatients,Trauma and Orthopaedic Surgery,67,173,67,Borders,15500,115240
2021Q1,S08000016,B120H,Rural,Elective Inpatients,Trauma and Orthopaedic Surgery,18,41,18,Borders,17052,115240
2021Q2,S08000016,B120H,Rural,Elective Inpatients,Trauma and Orthopaedic Surgery,71,162,70,Borders,17745,115240
2021Q3,S08000016,B120H,Rural,Elective Inpatients,Trauma and Orthopaedic Surgery,59,172,59,Borders,17316,115240
2020Q1,S08000016,B120H,Rural,Elective Inpatients,Urology,43,55,43,Borders,16272,115240
2020Q2,S08000016,B120H,Rural,Elective Inpatients,Urology,31,55,31,Borders,10533,115240
2020Q3,S08000016,B120H,Rural,Elective Inpatients,Urology,25,32,25,Borders,13436,115240
2020Q4,S08000016,B120H,Rural,Elective Inpatients,Urology,36,70,36,Borders,15500,115240
2021Q1,S08000016,B120H,Rural,Elective Inpatients,Urology,19,78,19,Borders,17052,115240
2021Q2,S08000016,B120H,Rural,Elective Inpatients,Urology,45,58,46,Borders,17745,115240
2021Q3,S08000016,B120H,Rural,Elective Inpatients,Urology,35,59,35,Borders,17316,115240
2020Q1,S08000016,B120H,Rural,Elective Inpatients,Haematology,0,0,0,Borders,16272,115240
2020Q2,S08000016,B120H,Rural,Elective Inpatients,Haematology,0,5,0,Borders,10533,115240
2021Q3,S08000016,B120H,Rural,Elective Inpatients,Haematology,0,0,0,Borders,17316,115240
2020Q1,S08000016,S08000016,Rural,Elective Inpatients,General Medicine,0,0,10,Borders,16272,115240
2020Q2,S08000016,S08000016,Rural,Elective Inpatients,General Medicine,5,0,5,Borders,10533,115240
2020Q4,S08000016,S08000016,Rural,Elective Inpatients,Cardiology,0,5,0,Borders,15500,115240
2021Q1,S08000016,S08000016,Rural,Elective Inpatients,Gastroenterology,0,0,0,Borders,17052,115240
2021Q2,S08000016,S08000016,Rural,Elective Inpatients,Palliative Medicine,0,7,0,Borders,17745,115240
2021Q2,S08000016,S08000016,Rural,Elective Inpatients,Respiratory Medicine,0,0,0,Borders,17745,115240
2020Q1,S08000016,S08000016,Rural,Elective Inpatients,General Surgery,79,55,80,Borders,16272,115240
2020Q2,S08000016,S08000016,Rural,Elective Inpatients,General Surgery,35,77,35,Borders,10533,115240
2020Q3,S08000016,S08000016,Rural,Elective Inpatients,General Surgery,44,51,44,Borders,13436,115240
2020Q4,S08000016,S08000016,Rural,Elective Inpatients,General Surgery,53,69,55,Borders,15500,115240
2021Q1,S08000016,S08000016,Rural,Elective Inpatients,General Surgery,42,49,40,Borders,17052,115240
2021Q2,S08000016,S08000016,Rural,Elective Inpatients,General Surgery,59,75,62,Borders,17745,115240
2021Q3,S08000016,S08000016,Rural,Elective Inpatients,General Surgery,50,68,49,Borders,17316,115240
2020Q1,S08000016,S08000016,Rural,Elective Inpatients,"Ear, Nose & Throat (ENT)",14,9,15,Borders,16272,115240
2020Q2,S08000016,S08000016,Rural,Elective Inpatients,"Ear, Nose & Throat (ENT)",0,0,0,Borders,10533,115240
2020Q3,S08000016,S08000016,Rural,Elective Inpatients,"Ear, Nose & Throat (ENT)",5,5,5,Borders,13436,115240
2020Q4,S08000016,S08000016,Rural,Elective Inpatients,"Ear, Nose & Throat (ENT)",10,5,10,Borders,15500,115240
2021Q2,S08000016,S08000016,Rural,Elective Inpatients,"Ear, Nose & Throat (ENT)",5,5,5,Borders,17745,115240
2021Q3,S08000016,S08000016,Rural,Elective Inpatients,"Ear, Nose & Throat (ENT)",10,6,10,Borders,17316,115240
